"simulation_id","simulation_key","simulation_seed","design_seed","design_group","anchor_set_id","data_partition","primary_eligible","censored_failure","success_status","run_started","run_finished","runtime_seconds","total_time","warnings","error_message","completed","stop_reason","simulated_time","lac_0","mu_0","gam_0","laa_0","K_0","K_1","mu_1","laa_1","lambda0","island_endemic_p","island_nonendemic_p","island_endemic_a","island_nonendemic_a","connectance","disconnect_p","disconnect_a","largest_component","n_components","plant_degree","animal_degree","nonend_nltt_p","singleton_nltt_p","multi_nltt_p","nonend_nltt_a","singleton_nltt_a","multi_nltt_a","island_p","island_a","final_degree_median","final_degree_p90","final_degree_p99","final_degree_max"
751,"sim_0751",79451479,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:25.563835 +0200","2026-08-05 02:24:27.176107 +0200",1.612,10,,,TRUE,"completed",10,0.65000751167388,0.0998846305021731,0.0555308886175187,0.208324503313955,41.5802404517308,0.33595820169018,0.0643190272597423,0.0515565984456852,0.0573609858008307,2,0,6,5,0,2,11,1,13,0,0,0,14.3880008639897,0,16.6680628580661,31.1170248017958,9.99015599393653,2,11,0,0,0,0
752,"sim_0752",79556208,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:26.149235 +0200","2026-08-05 02:24:30.552019 +0200",4.403,10,,,TRUE,"completed",10,0.57520241931875,0.0876980747853689,0.197092998574566,0.604188977954967,78.0706547724704,0.421807548071308,0.00704372772040089,0.00527026097671801,0.0586885686172564,29,3,44,9,0.0288915094339623,9,24,15,44,1.53125,0.924528301886792,1.63215254668004,88.8627877223131,82.9344257138484,7.60129784073014,247.654767601612,63.5265903989719,32,53,1,3,5.81333333333333,6
753,"sim_0753",79660937,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:28.255333 +0200","2026-08-05 02:24:29.861000 +0200",1.606,10,,,TRUE,"completed",10,0.285812980907628,0.0313375619755885,0.0176365913726308,0.058456395101994,51.5173321800513,2.71263844325386,0.00547680220449011,0.241033830904441,0.0753039406517779,2,1,11,4,0,3,15,1,18,0,0,1.28347841091136,0,10.3369433353177,16.07585031031,28.1652773459567,28.53285931374,3,15,0,0,0,0
754,"sim_0754",79765666,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:28.153846 +0200","2026-08-05 02:24:30.138078 +0200",1.984,10,,,TRUE,"completed",10,0.0475850551947617,0.371087576813657,0.0104369894102723,0.77558090815696,109.083811081677,0.538594692840177,0.102110520148091,0.178004056626038,0.136499959922878,1,0,5,4,,1,9,1,10,0,0,0,1.6312045978685,0,2.59106026832746,19.842456170653,0,1,9,0,0,0,0
755,"sim_0755",79870395,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:28.650401 +0200","2026-08-05 02:24:31.538656 +0200",2.888,10,,,TRUE,"completed",10,0.543775965766196,0.345983223438267,0.0137441237458868,0.0366142564647559,91.3931778874455,6.31477514064107,0.0363999761276354,0.248141588806175,0.510200545441432,26,2,25,0,0.268571428571429,3,6,38,12,6.71428571428571,7.52,7.01746870820769,6.17098469251915,39.6603853611942,0,4.40967983574645,47.7360742337901,28,25,8,13,16,16
756,"sim_0756",79975124,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:29.621513 +0200","2026-08-05 02:24:31.033649 +0200",1.412,10,,,TRUE,"completed",10,0.0520071507190203,0.0334026681601259,0.0101895386884263,0.0958370881793107,57.6209312434412,2.71757826723188,0.0401688868459461,0.00773258026947992,0.0767791971345702,0,2,1,7,0,2,8,1,10,0,0,5.29340712489082,0,0,24.9147302040061,9.07099621139179,0,2,8,0,0,0,0
757,"sim_0757",80079853,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:29.138842 +0200","2026-08-05 02:24:31.014176 +0200",1.875,10,,,TRUE,"completed",10,0.0612417162541996,0.387852104968853,0.0112038190058548,0.559797796963316,114.237579720509,10.5578745164917,0.116554956941935,0.0290209832608363,0.0553165471834845,0,2,2,3,0.1,1,4,2,6,0.5,0.2,1.5982068904682,0,0,2.72611823480556,6.79607556282958,0,2,5,0,1,1,1
758,"sim_0758",80184582,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:29.145056 +0200","2026-08-05 02:24:31.002259 +0200",1.857,10,,,TRUE,"completed",10,0.0438564906678345,0.0490425311232566,0.0385230957887642,0.68872021590655,51.6642367958402,8.91364427468811,0.00693675566687945,0.224702792609718,0.763339989627934,2,0,16,3,0.131578947368421,0,14,5,16,2.5,0.263157894736842,0,12.030185830819,0,2.98100381674822,81.5530740166488,0,2,19,0,1,4,4
759,"sim_0759",80289311,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:30.074724 +0200","2026-08-05 02:24:38.120785 +0200",8.046,10,,,TRUE,"completed",10,0.0559461555561529,0.2553457389749,0.173880703600455,0.300940712939483,119.896900607045,0.646719418955454,0.00625707349810161,0.239417963573037,0.339936246421882,21,7,46,24,0.0346938775510204,7,31,20,47,2.42857142857143,0.971428571428571,8.71082507251209,45.3368384866459,55.7406473980458,47.6729565862558,200.909907287071,68.909635137616,28,70,1,3.83333333333334,9.68333333333334,10
760,"sim_0760",80394040,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:31.474044 +0200","2026-08-05 02:24:43.332035 +0200",11.858,10,,,TRUE,"completed",10,0.747313431574123,0.223429216072604,0.0266799870780562,0.10417932430406,114.077382172458,0.350898925694288,0.0421294393875676,0.0390937551471224,1.48367696373212,106,3,104,2,0.687900294270383,2,4,209,7,72.9174311926605,74.9811320754717,19.1002031617854,0,489.36934264941,14.0108471294555,8.34980990433231,459.060242945675,109,106,81,91,96.5133333333333,98
761,"sim_0761",80498769,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:30.844393 +0200","2026-08-05 02:24:32.770014 +0200",1.925,10,,,TRUE,"completed",10,0.672044826115396,0.0301950319787521,0.0730589646683732,0.06834567997178,46.5854562687377,12.8709286124237,0.0053901314955532,0.125491213623577,0.990203497701491,10,2,16,15,0.228494623655914,2,18,23,21,7.08333333333333,2.74193548387097,0.86289911584568,0,27.8917414863607,57.0792452451165,37.3842231057835,38.7139027051877,12,31,1,10,10,10
762,"sim_0762",80603498,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:30.789340 +0200","2026-08-05 02:24:33.678589 +0200",2.889,10,,,TRUE,"completed",10,0.634801564216776,0.51288535345506,0.0118443780300026,0.714501049390344,115.70441884771,35.6627646052007,0.0552124182699085,0.158962466959945,0.0890041358044968,2,1,5,3,0,3,8,1,11,0,0,0.113536746297751,0,7.43896496914794,0.573028465570941,10.3962907422249,12.3553315769341,3,8,0,0,0,0
